Word,Frequency
jdi,19
malas,14
nambah,37
"macet,",2
dibuka.,14
informasi,16
dihubungi,1
pengaduan,3
trouble,1
Admin,7
diperhatikan,5
"customernya,",1
keluhan,14
"sama,",7
ditangani.,1
restart,5
upgrade,39
tetap,50
Sekarang,22
aplikasinya,125
lag,7
Verifikasi,33
biometrik,3
&,31
waktu.,10
sat,6
set,6
set.,1
Ditambah,1
setting,2
push,2
"notifikasi,",1
sehari,13
3-5,2
mengganggu,4
fokus.,1
"diri,",2
submit,1
berfungsi.,2
-_-,2
keadaanmu,1
membaik,1
lama......,1
developernya.,1
bottomsheet,2
pencet,5
BACK,1
behaviornya,1
nutup,3
bottomsheetnya.,2
Bukan,5
apps.,1
UX,1
begini,20
gaenak.,1
Diatur,1
onBackPressed,1
nya.,43
Cek,3
ga.,1
dismiss,1
Problem,1
kl,6
lg,44
pilih,12
topup,24
btmsht,1
full,11
balik,29
home,1
jari,1
kudu,5
diatas.,2
Perbaikin,1
ya.,20
Kabarin,1
beres.,3
26,8
Maret,4
aneh,27
hadeuh,2
estimasi,11
tangal,1
parah,38
"boss,",1
kelola,2
rumit?,1
WD,64
nya?,6
adanya,6
deposit,57
aja....,1
Lama,72
verifikasinya,15
"loh,",2
support,21
dipenjec,1
curiga,2
berkedok,9
sya,52
rutin,11
penipuan?,3
awalnya,11
telat,5
sesuai,91
kehabisan,1
saldo.,3
besoknta,1
isi,34
rutin.,2
misi,1
kelar.,1
ditanggal,1
loh.,1
bug,14
geser,2
grafik,9
ngeleg,3
lihat,23
detail,3
Border,1
terakhir,13
sentuh,1
perangkat,5
Aplikasinya,40
jujur,4
Keuntungannya,1
sedikit,19
kenaikan,3
cukup,30
tinggi.,4
update-an,3
lambatdisaat,1
cuan,8
Disaat,2
"minus,",8
cepat,66
minusnya,2
banyak,177
Pencarian,7
10,57
Trus,7
transfer,94
"pencarian,",1
lagi-lagi,1
deh😪,1
"kelamaan,",4
500ribu,2
bener,57
pencariannya,2
Terhitung,1
Hari,11
dipotong,9
terlepas,2
potongan,51
entah,13
itu),2
Yaampun,1
Estimasi,6
perhitungan,2
jauh.,2
Apalagi,7
dibagi,2
3x,11
pembayaran.,2
dijelaskan,7
secara,16
pembayarannya.,1
Defisit,1
pokoknya,10
meriview,1
saya..,12
Untuk,63
prosesnya!,1
benar2,3
menguji,1
kesabaran..,1
Masuk,14
cicil,2
njir,3
gmn,21
puluhan,7
past,1
lagi..,7
Smoga,4
kedepan,7
perbaikan..,1
gni,4
males,32
instal,59
paham,20
menarik,13
clear,6
"cache,",2
gambarnya,4
"error,",8
tampilan,22
Ngecek,1
nilai,37
inves,72
"turun,",3
dijual,23
ketemu2,1
gara,3
gambar,5
"burk,",1
sengaja,12
bukan?,1
Kalian,10
gamau,3
gara2,11
turun?,1
Ditutup2,1
dalih,2
gangguan?,1
Kesalahan,1
hp?,1
Wkwkwk,1
Pas,28
"aplikasi,",16
bias,1
discoll,1
atas,27
"kebawah,..",1
berbagai,2
"dipake,",1
"ulang,",7
versi,12
"berbaru,",1
cacha...,1
Tapi,58
ttp,13
bagaimana,26
Rating,3
"diubah,",1
teratasi,1
detil,2
"dibuka,",21
"tersedia,",2
Setelah,41
didownload,4
plus/premium.,1
Penutupan,1
ribet.,9
bernasalah,1
"lancar,udah",1
starlink,1
loh,13
tolol,20
RDN,44
tolak,12
kntl,3
tanggapi,1
janck,1
sampah,24
Aseli,1
"bgt,",11
stabil,18
loadingnya,11
MATCH,5
selang,3
"kacau,",2
OPEN..butuh,1
MATCH..rugi,1
ratusan,15
"28,",1
masuk2.,3
tindak,7
lanjut.,4
melalu8,1
whatsapp,4
direspon.,1
hati2,10
sdh,63
",tidak",1
darurat.akhirnya,1
memasukkan,4
lama.padahal,1
zaman,5
canggih,2
serba,17
cepat.baru,1
selama,26
penarikan.sangat,1
mengecewakan,24
?,53
"salah,.",3
Di,51
minta,59
daftarkan,4
sakan,1
Untung,25
guman,1
doank,3
Kebayang,1
duit,104
hangus,4
Sungguh,5
kecewa,113
pengembalian,10
usah,24
bahkan,28
Minggu,40
gimna,10
harga,43
tahunan,2
tambah,42
🌟🌟🌟🌟🌟,1
pelit,1
Namun,4
karna,65
Sy,12
hd,1
"aplikasinya,",9
gangguan..,1
pantengin,1
fluktuasi,3
ideal,2
"rdn,",1
gangguan,6
hari..,8
keburu,5
mau..,1
not,8
"recommend,",1
pindah,23
gag,4
slalu,5
uptodate,1
(sabtu,1
merah,6
"harga),,",1
realtime,3
(misal,3
senin,12
"april,,",1
terbeli,1
selasa,4
april),1
maaf.,1
beri,6
satu.,3
Hanya,10
pengenalan,1
database,1
konek,3
dgn,38
bank.,19
Data,9
diminta,6
"valid,",1
berikut,2
fotonya.,1
dianggap,3
valid.,1
menyampaikan,1
komplain,13
alamat,3
"balasan,",1
peringatan,4
"""email",1
"terdaftar"".",1
maka,7
tempat,13
tujuan.,1
"Ah,",1
yasudahlah,1
"uang,",11
merasa,12
puas,6
persentasi,1
lumayan,22
Lalu,3
memutuskan,2
menambah,4
"berhasil,",13
buka.,9
Error,4
"terus,",11
paling,49
ter-update.,1
Jika,6
normal,2
"lagi,",29
penilaian,3
ganti.,1
Jangan,59
instal..,1
BAHAYA..,1
bru,5
smpe,22
dll,10
dihapus,8
batal,3
registrasinya,4
RESPON,4
ADMINNYA,2
UNINSTAL,2
AJA..,1
Hello,2
pribadi,33
disitu,6
loh...,1
Giliran,16
DAFTAR,1
LAGI,13
KATANYA,4
GAK,21
BISA,19
KARNA,5
DATA,11
SUDAH,14
DIGUNAKAN.,1
DIGUNAKAN,1
SIAPA,1
WOI???,1
PADAHAL,7
REGISTRASI,2
BELUM,12
BERHASIL,2
DAN,19
PUTUS,1
DITENGAH,1
JALAN,1
TAPI,8
UDAH,13
TERDAFTAR..,1
Jengkel,1
"banget,",47
uninstal,44
BAHAYA,2
"BANGET,",2
HATI-HATI,1
PENCURIAN,1
PRIBADI!,1
Buat,22
pikir,14
",pencairan",1
persulit,18
",pdhl",1
duitnyaa,1
itupun,9
",true",1
fortofolio,1
",ksel",1
sumpah:v,1
Proses,102
order,52
kustodian,13
(pencairan,1
ditambah,9
minggu).,1
Intinya,1
simpan,11
"ini,",53
soalnya,33
kondisi,8
urgent,12
pencairannya,43
poll,2
hack,2
ponsel,2
pemilik,2
..,70
memberikan,9
Solusi,2
robot..,1
sperti,3
gunakan,28
pembayaran,48
Auto,7
uninstall,41
4x,2
nabung.,3
Respon,7
dr,49
bagus.,6
Fitur,2
kadang,23
nge,11
lag.,1
Daftar,18
tdk,63
info,10
tim,10
approve,1
daftarnya.,1
Seharusnya,6
daftar.,5
support.,1
Maju,1
Bibit.,5
Jossssssss,1
yah,20
Awal,9
bagus2,1
rekomendasi,14
akhir2,3
appnya,5
kek,16
"(dibuka,",1
membuka,14
berwarna,1
putih,7
kosong),1
yah?,7
tabungan,44
krna,12
tsmpilan,1
doang.,8
berikan,7
solusinya🙏🏻,1
akses,14
teman-teman,1
tunanetra,1
software,1
layar.,1
Banyak,11
sulit,25
klik.,2
aksesibilitasnya.,1
Sehingga,3
TalkBack.,1
Mau,94
pencarian,31
"rekening,",31
rekeningnya,7
sekitar,13
harian,8
salah.,6
efektif,1
Kecuali,2
problem.,1
dirubah,1
ACC,6
"adminnya,",4
lucunya,2
ACC.,3
Dari,27
TDK,8
apalagi,43
investasinya,6
dikit,23
fingerprint.,1
Kesimpulannya,1
ribet!!!,1
Pengalaman,10
kurang,82
nyaman,18
pencairan.,8
hingga,12
berlalu,1
Mesti,2
"direspon,",4
prosesnya,39
bertele,4
tele.,2
diperbaiki,36
supaya,17
melewati,2
batas,9
"dijanjikan,",1
follow,2
otomatis,11
permohonan,1
maaf,31
dicairkan,9
nasabah.,4
pembelajaran,2
semua:,1
Memang,3
"Rp10k,",1
"Rp100k,",2
melihat,8
"perkembangannya,",1
seringnya,1
"minus,berkurang",1
Terakhir,2
"Rp98k,",1
"bca,",1
dikembalikan,6
"semua,",8
Eh,7
"Rp7,542",1
perak..,2
Sedih,1
buntung..,1
Gk,26
"pemula,apalagi",1
coba2.,1
Kapok,19
bulanan,5
tertarik,7
ditawarkan,2
hasilnya,13
asuransi..,1
minus,30
putuskan,5
walau,7
🙂,2
Parah..,1
berhari,23
hari.,26
keterangan,29
berhasil.,10
masuk.,36
hitungan,12
menit.,1
minggu.,5
Yh,1
anehh,1
pinjol,4
segala,15
kamera,2
trs,20
"KTPnya,",1
"Error,",2
oke,16
"registrasi,",9
rasa,5
tandatangan,2
tak,23
identik,1
antara,6
1.,12
menyamakan,1
bolpoin,1
"jari,",1
2.,7
Ada,33
"akurasi,",1
3.,4
Menyulitkan,1
nulis,2
ulasan,14
gara-gara,4
konyol,3
ini.😩😩😩,1
Waktu,7
pengen,20
"disini,uda",1
install,22
uda,33
"lama,trs",1
"ektp,padahal",1
didaftarin,1
"semua,selama",1
utk,35
urus,7
"apapun,pas",1
liat,25
review,11
"negatif,ya",1
diijinin,1
"ini,maaf",1
abisnya.,1
"bagus,sangat",1
"dipahami,dan",1
simpel...sayangnya,1
tingkatkan,5
ny...Terima,1
Aneh,15
"penjualan,",5
dibilang,12
sekrup,6
lepas.,1
Saldo,9
sukses,18
tampil,2
keuntungan/,1
(normalnya,1
grafiknya,3
dinamis,1
sekali),1
diupdate,6
22.00,2
perubahan.,3
(tombol,1
disabled).,1
"nipu,",1
yaudah,3
2juta..,1
beban,2
neraka,1
2jt,5
x,23
Sinyal,5
relod,3
Daftarnya,3
bener²,2
"bnget,",2
ntah,7
tahap,7
"tau,",4
jangka,11
mendaftar,8
berinvestasi,32
5-6,1
tinggal,17
besok,3
tentu,3
selesai.,6
Dalam,5
mempersulit,9
mengulur,1
lh..,1
Yang,27
tadinya,4
daftarnya,6
tohh,1
bingung..,1
Knp,17
kpt,1
+,23
selfie,12
tandatangan...,1
pinjam,4
online,11
sangt,2
"mudah,,",1
kawan,9
disalahgunakan,3
mereka,17
bertanggunh,1
jawab...,1
menutup,2
kemungkinan,1
oknum,2
bermain....,1
Klo,15
dengn,3
mudh,1
menimbulkan,1
resiko,5
lain...,3
"fleksibel,",1
mengingat,1
disini,56
kan..,1
Tetap,1
Thanks,2
Agak,7
Dengan,5
potonga,1
2500-6000,1
"gratis,",1
enggak,5
malahan,7
mendapatkan,8
2500,4
"seminggu,",7
dikecilkan,1
menguntungkan,13
rugi.,8
buka..ini,1
kerusakan,1
c..,1
setlah,1
log,34
n,15
berinves,1
kmbli..pelayana,1
melalui,26
WhatsApp,3
bertele-tele,1
jelas..,6
ngetes,3
10ribu.sudah,1
hari..nyatanya,1
sekali.,22
Terima,14
blur...,1
"mudah,",3
dukcapil,5
e-ktp.,1
(Mohon,1
semudah,1
dulu.dan,1
data2,13
e-ktp,3
"ko,",1
bagian,16
FOTO,1
blur),1
3.mendapatkan,1
propit,2
kecil.,6
4.terlalu,1
libur,15
mebuang2,1
bunga,12
rekening.,25
Parah,27
Baru,50
uninstall....,1
banget....,1
pertanyaannya,2
banyak...loading,1
lama....jadi,1
ragu,33
takutnya,3
disetor,1
bagusan,2
dah....meragukan,1
Nggak,12
tabunga,1
"darurat,",4
simpanan,1
"dana,",16
"tabungan,",2
Pola,1
jauh,10
kata,22
modern,1
"simpel,",1
Ketika,14
berlomba,1
memanjakan,1
nasabahnya,2
Lah,7
"bibit?!,",1
memperlambat,1
embel,5
"""KEAMANAN"",",1
KAN,2
YANG,17
"AMAN,",1
PROSES,10
SIMPLE,1
ADA,10
MAS,1
"BRO,",1
MAKSUD,1
SAYA,34
SETOR/,1
PENARIKAN,9
SAMPE,4
HARI,11
LEBIH,8
"ITU,",1
DANANYA,1
DIAPAIN,1
AJA.....,1
KURANG,2
LAMA,24
KAH,2
Bug,4
input,6
kode,76
promo,27
huruf,2
angka,4
kedelete,1
Sebelumnya,4
bayar,33
adminnya,15
:(,15
tujuan,4
menabung,11
dijago,1
disimpan,3
dibank,5
sia-sia.,1
dibibit,9
biayanya,8
skrg.,2
Kembalikan,4
Entah,5
realme,1
xt,1
"memuat,",2
lagi.,26
ntar,7
Benar2,1
lelet,28
widraw.,1
Ke,12
penghasilannyapun,1
seberapa,19
dibawah,7
antar,10
rekeningpun,1
terpotong,11
histori,2
transaksi,87
KAPOOOK,1
Skrang,1
dikenakan,15
stiap,3
macam2,1
goal..,1
jd,47
skitarnya,1
berbeda..,1
k,24
plus,33
ragu..,1
pgen,1
berhenti,4
pkai,5
dikenai,3
tmbahan,1
cairnya,27
beres,11
download,103
